timestamp,event_type,x,y
1764176263.197399,move,1218,392
1764176263.202698,move,1219,391
1764176263.2077675,move,1221,390
1764176263.2226915,move,1222,390
1764176263.2280133,move,1222,390
1764176263.232785,move,1220,391
1764176263.237768,move,1219,393
1764176263.4737623,move,1224,380
1764176263.4838126,move,1234,363
1764176263.488441,move,1241,346
1764176263.4935825,move,1247,334
1764176263.4985614,move,1257,319
1764176263.503956,move,1262,306
1764176263.5136578,move,1270,291
1764176263.5187056,move,1275,279
1764176263.5237706,move,1283,266
1764176263.5289197,move,1289,255
1764176263.533942,move,1294,242
1764176263.5439165,move,1300,232
1764176263.5488412,move,1303,223
1764176263.5538027,move,1307,212
1764176263.5590067,move,1309,204
1764176263.5639155,move,1310,199
1764176263.5739415,move,1314,192
1764176263.5789948,move,1314,188
1764176263.5839412,move,1315,184
1764176263.5888379,move,1316,178
1764176263.5941446,move,1316,175
1764176263.5990741,move,1317,172
1764176263.609087,move,1317,167
1764176263.613951,move,1317,164
1764176263.6188557,move,1319,161
1764176263.6242087,move,1319,158
1764176263.6290653,move,1319,154
1764176263.634166,move,1319,154
1764176263.644698,move,1319,152
1764176263.6495454,move,1319,148
1764176263.654603,move,1319,148
1764176263.6597996,move,1319,147
1764176263.6647584,move,1319,145
1764176263.6745896,move,1319,143
1764176263.6794114,move,1319,142
1764176263.6849275,move,1319,139
1764176263.6898713,move,1319,137
1764176263.6948323,move,1319,135
1764176263.704704,move,1319,133
1764176263.709979,move,1319,129
1764176263.7145429,move,1320,127
1764176263.7197154,move,1321,125
1764176263.7249765,move,1322,123
1764176263.7349496,move,1324,118
1764176263.7399118,move,1326,116
1764176263.7449484,move,1327,111
1764176263.7498102,move,1330,106
1764176263.75497,move,1332,103
1764176263.764732,move,1333,100
1764176263.7696865,move,1337,95
1764176263.7746427,move,1339,91
1764176263.7800927,move,1340,88
1764176263.7847273,move,1341,86
1764176263.7944922,move,1342,83
1764176263.799761,move,1343,81
1764176263.8046963,move,1347,77
1764176263.8097882,move,1348,75
1764176263.8149643,move,1349,72
1764176263.8247733,move,1350,69
1764176263.8296156,move,1352,66
1764176263.8346221,move,1353,64
1764176263.8397846,move,1354,62
1764176263.8448842,move,1355,60
1764176263.8498023,move,1355,59
1764176263.8599832,move,1357,58
1764176263.8646648,move,1358,57
1764176263.8700068,move,1358,56
1764176263.8749025,move,1358,53
1764176263.8797808,move,1359,52
1764176263.8896983,move,1360,51
1764176263.8947606,move,1360,50
1764176263.899748,move,1361,50
1764176263.9049468,move,1361,49
1764176263.909945,move,1361,48
1764176263.920316,move,1362,48
1764176263.9251962,move,1362,47
1764176263.929921,move,1362,46
1764176263.9354196,move,1362,44
1764176263.940134,move,1362,43
1764176263.945369,move,1363,43
1764176263.960809,move,1364,42
1764176263.9707947,move,1366,41
1764176263.990685,move,1367,40
1764176264.0606186,move,1367,39
1764176264.105612,move,1367,38
1764176264.120836,move,1368,37
1764176264.1355946,move,1369,36
1764176264.145531,move,1369,35
1764176264.1606739,move,1369,34
1764176264.171084,move,1369,33
1764176264.1759262,move,1369,33
1764176264.1909342,move,1369,32
1764176264.1960003,move,1370,32
1764176264.2011256,move,1370,31
1764176264.2160494,move,1370,30
1764176264.2259798,move,1371,30
1764176264.2714522,move,1371,30
1764176264.557474,click_pressed,1371,30
1764176264.7783604,click_released,1371,30
1764176265.188531,move,1373,30
1764176265.1937208,move,1374,30
1764176265.2034676,move,1375,30
1764176265.208412,move,1376,30
1764176265.2135127,move,1376,30
1764176265.2185624,move,1377,30
1764176265.2236362,move,1378,30
1764176265.2336235,move,1380,30
1764176265.2436688,move,1381,30
1764176265.2487452,move,1382,30
1764176265.2538106,move,1383,30
1764176265.2686756,move,1383,30
1764176265.2736616,move,1384,30
1764176265.283885,move,1385,30
1764176265.288878,move,1386,30
1764176265.298737,move,1386,31
1764176265.3036776,move,1387,31
1764176265.3088264,move,1389,32
1764176265.3139124,move,1390,32
1764176265.3288016,move,1390,33
1764176265.3337753,move,1391,33
1764176265.33894,move,1392,34
1764176265.3440187,move,1393,34
1764176265.358899,move,1395,34
1764176265.3638792,move,1396,35
1764176265.36896,move,1397,35
1764176265.3740795,move,1398,35
1764176265.3790498,move,1400,36
1764176265.3890789,move,1401,36
1764176265.3940256,move,1403,36
1764176265.3991125,move,1405,36
1764176265.4042125,move,1407,37
1764176265.4097345,move,1409,37
1764176265.4190469,move,1411,38
1764176265.4241986,move,1414,38
1764176265.4295194,move,1417,40
1764176265.4342284,move,1419,40
1764176265.4392996,move,1421,41
1764176265.449146,move,1422,41
1764176265.4541645,move,1424,41
1764176265.45929,move,1427,42
1764176265.4643252,move,1428,42
1764176265.4693704,move,1430,43
1764176265.4748802,move,1432,43
1764176265.4842973,move,1434,44
1764176265.4893246,move,1437,44
1764176265.494361,move,1439,45
1764176265.4994972,move,1441,45
1764176265.5044885,move,1443,45
1764176265.514388,move,1448,46
1764176265.5193443,move,1450,46
1764176265.5245404,move,1452,47
1764176265.5296464,move,1454,48
1764176265.534533,move,1456,50
1764176265.5446813,move,1459,53
1764176265.5493758,move,1460,56
1764176265.554499,move,1460,59
1764176265.5596054,move,1459,67
1764176265.5647616,move,1453,76
1764176265.5744593,move,1445,85
1764176265.5796127,move,1432,97
1764176265.584645,move,1413,105
1764176265.589679,move,1391,116
1764176265.595011,move,1361,129
1764176265.5997488,move,1332,139
1764176265.6097205,move,1294,154
1764176265.614818,move,1264,164
1764176265.620011,move,1223,176
1764176265.6248996,move,1188,183
1764176265.630003,move,1156,189
1764176265.6398394,move,1124,198
1764176265.6448858,move,1101,201
1764176265.649931,move,1081,205
1764176265.6549845,move,1061,206
1764176265.6649392,move,1044,208
1764176265.669877,move,1028,210
1764176265.6748471,move,1016,213
1764176265.6799448,move,1006,214
1764176265.6849766,move,995,214
1764176265.6954277,move,991,215
1764176265.699962,move,986,215
1764176265.7048824,move,983,217
1764176265.7101147,move,981,217
1764176265.7151313,move,979,217
1764176265.719998,move,978,217
1764176266.0156379,move,969,221
1764176266.0207465,move,954,231
1764176266.0258121,move,939,240
1764176266.0309546,move,926,248
1764176266.0358393,move,913,256
1764176266.046036,move,900,267
1764176266.0508094,move,889,275
1764176266.0557978,move,874,285
1764176266.0612867,move,863,293
1764176266.065885,move,852,301
1764176266.0709705,move,841,307
1764176266.0807188,move,832,315
1764176266.0858507,move,821,319
1764176266.09083,move,812,324
1764176266.0960004,move,803,330
1764176266.1010368,move,796,334
1764176266.1109102,move,788,338
1764176266.1159482,move,782,342
1764176266.1210072,move,777,345
1764176266.1260984,move,773,346
1764176266.1310837,move,769,347
1764176266.1409717,move,765,348
1764176266.14594,move,763,349
1764176266.151037,move,761,350
1764176266.1561327,move,759,350
1764176266.16116,move,756,352
1764176266.1713505,move,754,352
1764176266.17632,move,752,353
1764176266.1812904,move,749,354
1764176266.1863236,move,746,354
1764176266.191659,move,744,355
1764176266.2013311,move,741,356
1764176266.2064226,move,735,356
1764176266.211273,move,732,358
1764176266.2164006,move,730,359
1764176266.2213275,move,724,359
1764176266.2312303,move,720,360
1764176266.2361753,move,717,361
1764176266.2411864,move,712,363
1764176266.2464402,move,709,364
1764176266.251338,move,706,364
1764176266.261529,move,701,365
1764176266.2667232,move,699,366
1764176266.2715478,move,696,368
1764176266.276751,move,693,368
1764176266.281512,move,686,369
1764176266.28648,move,683,370
1764176266.2965283,move,677,372
1764176266.3018022,move,672,376
1764176266.306684,move,665,379
1764176266.311903,move,660,380
1764176266.3168752,move,655,383
1764176266.3269103,move,650,385
1764176266.3317673,move,645,389
1764176266.3369422,move,640,392
1764176266.3417823,move,637,394
1764176266.3469343,move,633,396
1764176266.356852,move,628,401
1764176266.3618898,move,625,403
1764176266.3668127,move,622,406
1764176266.3720593,move,617,409
1764176266.3770196,move,613,414
1764176266.3869457,move,608,418
1764176266.391893,move,602,422
1764176266.396818,move,598,427
1764176266.4019148,move,595,430
1764176266.4070196,move,590,433
1764176266.4168177,move,585,439
1764176266.421861,move,581,441
1764176266.4271035,move,578,443
1764176266.43221,move,575,447
1764176266.4370146,move,572,449
1764176266.4470587,move,570,451
1764176266.4520123,move,568,452
1764176266.4569852,move,566,453
1764176266.4619732,move,565,453
1764176266.467079,move,564,453
1764176266.477102,move,564,454
1764176266.482227,move,564,454
1764176266.487081,move,563,455
1764176266.492221,move,562,455
1764176266.4970086,move,561,455
1764176266.5020726,move,559,456
1764176266.5173018,move,558,456
1764176266.5223048,move,557,457
1764176266.5271227,move,557,457
1764176266.5320535,move,556,458
1764176266.5418224,move,555,458
1764176266.5468068,move,555,459
1764176266.5520298,move,554,459
1764176266.5570405,move,553,459
1764176266.5619318,move,552,459
1764176266.571857,move,550,459
1764176266.5819173,move,550,459
1764176266.602102,move,549,459
1764176266.6125097,move,548,459
1764176266.7273955,move,548,460
1764176266.778197,move,548,461
1764176266.8177297,move,548,462
1764176266.828189,move,548,462
1764176266.8383205,move,549,462
1764176267.0691955,click_pressed,549,462
1764176267.2547688,click_released,549,462
1764176267.3148549,click_pressed,549,462
1764176267.4707515,click_released,549,462
1764176268.092202,move,551,462
1764176268.0971434,move,555,462
1764176268.1068807,move,559,462
1764176268.1119552,move,561,462
1764176268.1170774,move,563,462
1764176268.122057,move,565,462
1764176268.1272826,move,567,461
1764176268.1371171,move,570,461
1764176268.1422188,move,572,461
1764176268.1475313,move,573,461
1764176268.1528714,move,574,461
1764176268.1576676,move,575,461
1764176268.1679347,move,576,461
1764176268.1725037,move,578,461
1764176268.1773758,move,579,461
1764176268.1824374,move,580,461
1764176268.1875947,move,581,461
1764176268.2032466,move,582,461
1764176268.2075527,move,583,461
1764176268.212667,move,584,461
1764176268.2273655,move,584,461
1764176268.2374525,move,585,461
1764176268.2525036,move,587,461
1764176268.2625859,move,588,461
1764176268.2723992,move,589,460
1764176268.2777693,move,590,460
1764176268.2828727,move,591,460
1764176268.2928166,move,591,460
1764176268.2977574,move,592,460
1764176268.30778,move,593,460
1764176268.3128092,move,594,460
1764176268.322798,move,596,460
1764176268.3277574,move,597,460
1764176268.332663,move,597,460
1764176268.342888,move,598,460
1764176268.3529341,move,599,460
1764176268.3578556,move,600,460
1764176268.3630357,move,601,460
